Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,latitude,longitude
Jason Kidd,PG,33,NJN,80,80,36.7,4.6,11.4,0.406,1.6,4.5,0.343,3.1,6.8,0.448,0.475,2.2,2.9,0.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,1.8,13,2006,39.83,-74.87
Shawn Marion,SF,28,PHO,80,80,37.6,7,13.4,0.524,1,3.2,0.317,6,10.2,0.587,0.561,2.5,3.1,0.81,2.2,7.7,9.8,1.7,2,1.5,1.4,2.7,17.5,2006,34.04,-111.09
Tracy McGrady,SG,27,HOU,71,71,35.8,9,20.8,0.431,1.8,5.4,0.331,7.2,15.5,0.466,0.474,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3,1.9,24.6,2006,31,-100
Yao Ming,C,26,HOU,48,48,33.8,8.8,17.1,0.516,0,0,0,8.8,17,0.518,0.516,7.4,8.6,0.862,2.1,7.3,9.4,2,0.4,2,3.5,3.3,25,2006,31,-100
Steve Nash,PG,32,PHO,76,76,35.3,6.8,12.8,0.532,2.1,4.5,0.455,4.8,8.3,0.575,0.613,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,2006,34.04,-111.09
Dirk Nowitzki,PF,28,DAL,78,78,36.2,8.6,17.2,0.502,0.9,2.2,0.416,7.7,15,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,2006,31,-100
Jermaine O'Neal,C,28,IND,69,69,35.6,7.2,16.5,0.436,0,0.1,0,7.2,16.4,0.439,0.436,5,6.5,0.767,2.2,7.4,9.6,2.4,0.7,2.6,2.9,3.4,19.4,2006,40.27,-86.13
Shaquille O'Neal,C,34,MIA,40,39,28.4,7.1,12,0.591,0,0,,7.1,12,0.591,0.591,3.1,7.4,0.422,2.4,5,7.4,2,0.2,1.4,2.4,3.5,17.3,2006,27.99,-81.76
Mehmet Okur,C,27,UTA,80,80,33.3,6.1,13.3,0.462,1.6,4.2,0.384,4.5,9.1,0.498,0.523,3.7,4.8,0.765,2,5.2,7.2,2,0.5,0.5,1.6,3.2,17.6,2006,39.42,-111.95
Tony Parker,PG,24,SAS,77,77,32.5,7.4,14.2,0.52,0.2,0.5,0.395,7.2,13.7,0.525,0.527,3.6,4.5,0.783,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8,18.6,2006,31,-100
Amar'e Stoudemire,C,24,PHO,82,78,32.8,7.4,12.9,0.575,0,0,0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1,1,1.3,2.8,3.6,20.4,2006,34.04,-111.09
Dwyane Wade,SG,25,MIA,51,50,37.9,9.3,18.9,0.491,0.4,1.5,0.266,8.8,17.3,0.511,0.502,8.5,10.5,0.807,1,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,2006,27.99,-81.76
Ray Allen,SG,32,BOS,73,73,35.9,6,13.5,0.445,2.5,6.2,0.398,3.5,7.3,0.485,0.537,2.9,3.2,0.907,1,2.6,3.7,3.1,0.9,0.2,1.7,2,17.4,2007,42.41,-71.38
Carmelo Anthony,SF,23,DEN,77,77,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7,2007,39.11,-105.36
Chauncey Billups,PG,31,DET,78,78,32.3,5,11.2,0.448,1.8,4.4,0.401,3.3,6.9,0.479,0.526,5.1,5.6,0.918,0.5,2.2,2.7,6.8,1.3,0.2,2.1,1.7,17,2007,44.18,-84.51
Carlos Boozer,PF,26,UTA,81,81,34.9,8.8,16,0.547,0,0,0,8.8,16,0.547,0.547,3.6,4.9,0.738,2.4,8,10.4,2.9,1.2,0.5,2.6,3.6,21.1,2007,39.42,-111.95
Chris Bosh,C,23,TOR,67,67,36.2,7.6,15.3,0.494,0.1,0.4,0.4,7.4,15,0.496,0.499,7,8.3,0.844,2.6,6.1,8.7,2.6,0.9,1,2.3,2.3,22.3,2007,43.65,-79.34
Kobe Bryant,SG,29,LAL,82,82,38.9,9.5,20.6,0.459,1.8,5.1,0.361,7.6,15.5,0.49,0.503,7.6,9,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,2007,36.77,-119.41
Caron Butler,SF,27,WAS,58,58,39.9,7.6,16.3,0.466,1.1,3.2,0.357,6.4,13.1,0.492,0.501,4.1,4.5,0.901,1.6,5.1,6.7,4.9,2.2,0.3,2.6,2.8,20.3,2007,47.75,-120.74
Tim Duncan,C,31,SAS,78,78,34,7.5,15.1,0.497,0,0.1,0,7.5,15.1,0.498,0.497,4.3,5.9,0.73,3,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,2007,31,-100
Kevin Garnett,PF,31,BOS,71,71,32.8,7.5,13.9,0.539,0,0.2,0,7.5,13.8,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,2007,42.41,-71.38
Richard Hamilton,SG,29,DET,72,72,33.7,6.9,14.3,0.484,0.9,2,0.44,6.1,12.3,0.492,0.515,2.6,3.1,0.833,1,2.2,3.3,4.2,1,0.1,1.8,2.4,17.3,2007,44.18,-84.51
Dwight Howard,C,22,ORL,82,82,37.7,7.1,11.9,0.599,0,0,0,7.1,11.8,0.601,0.599,6.5,10.9,0.59,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,2007,28,-81.76
Allen Iverson,SG,32,DEN,82,82,41.8,8.7,19,0.458,1.2,3.4,0.345,7.5,15.6,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3,7.1,2,0.1,3,1.3,26.4,2007,39.11,-105.36
LeBron James,SF,23,CLE,75,74,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30,2007,40.37,-82.99
Antawn Jamison,PF,31,WAS,79,79,38.7,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4,2007,47.75,-120.74
Joe Johnson,SG,26,ATL,82,82,40.8,7.9,18.3,0.432,2.1,5.4,0.381,5.8,12.8,0.454,0.489,3.9,4.6,0.834,1,3.5,4.5,5.8,1,0.2,2.7,2,21.7,2007,33.25,-83.44
Jason Kidd,PG,34,TOT,80,80,36.3,3.8,9.9,0.385,1.5,3.9,0.381,2.3,6,0.387,0.46,1.7,2.1,0.818,1.2,6.3,7.5,10.1,1.7,0.3,3.3,2.1,10.8,2007,47.75,-120.74
Yao Ming,C,27,HOU,55,55,37.2,7.9,15.5,0.507,0,0,0,7.9,15.5,0.508,0.507,6.3,7.4,0.85,3.1,7.7,10.8,2.3,0.5,2,3.3,3.1,22,2007,31,-100
Steve Nash,PG,33,PHO,81,81,34.3,6,11.9,0.504,2.2,4.7,0.47,3.8,7.2,0.527,0.597,2.7,3,0.906,0.3,3.1,3.5,11.1,0.7,0.1,3.6,1.4,16.9,2007,34.04,-111.09
Dirk Nowitzki,PF,29,DAL,77,77,36,8.2,17.1,0.479,1,2.9,0.359,7.2,14.2,0.504,0.51,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,2007,31,-100
Chris Paul,PG,22,NOH,80,80,37.6,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4,11.6,2.7,0.1,2.5,2.3,21.1,2007,30.39,-92.33
Paul Pierce,SF,30,BOS,80,80,35.9,6.4,13.7,0.464,1.8,4.6,0.392,4.6,9.2,0.499,0.529,5.1,6.1,0.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.6,2007,42.41,-71.38
Brandon Roy,SG,23,POR,74,74,37.7,7.2,15.8,0.454,1,2.9,0.34,6.2,12.9,0.48,0.485,3.8,5,0.753,1.1,3.6,4.7,5.8,1.1,0.2,1.8,2,19.1,2007,44,-120.5
Amar'e Stoudemire,C,25,PHO,79,79,33.9,9,15.3,0.59,0.1,0.4,0.161,9,14.9,0.601,0.592,7,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,2007,34.04,-111.09
Dwyane Wade,SG,26,MIA,51,49,38.3,8.6,18.4,0.469,0.4,1.5,0.286,8.2,16.9,0.485,0.48,6.9,9.2,0.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6,2007,27.99,-81.76
Rasheed Wallace,C,33,DET,77,76,30.5,4.9,11.3,0.432,1.5,4.1,0.356,3.4,7.2,0.476,0.497,1.5,1.9,0.767,1.1,5.5,6.6,1.8,1.2,1.7,1.1,2.8,12.7,2007,44.18,-84.51
David West,PF,27,NOH,76,76,37.8,8.3,17.2,0.482,0.1,0.3,0.24,8.2,16.8,0.487,0.484,3.9,4.6,0.85,2.4,6.5,8.9,2.3,0.8,1.3,2.2,2.7,20.6,2007,30.39,-92.33
Ray Allen,SG,33,BOS,79,79,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7,0.542,0.575,3,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2,18.2,2008,42.41,-71.38
Chauncey Billups,PG,32,TOT,79,79,35.3,5.2,12.4,0.418,2.1,5,0.408,3.1,7.4,0.425,0.501,5.3,5.8,0.913,0.4,2.6,3,6.4,1.2,0.2,2.2,2,17.7,2008,47.75,-120.74
Chris Bosh,C,24,TOR,77,77,38,8,16.4,0.487,0.2,0.6,0.245,7.8,15.8,0.497,0.492,6.5,8,0.817,2.8,7.2,10,2.5,0.9,1,2.3,2.5,22.7,2008,43.65,-79.34
